FB:FBgn0011758	B-H1	BarH1
FB:FBgn0011701	repo	reversed polarity
FB:FBgn0038852	HHEX	Hematopoietically expressed homeobox
FB:FBgn0261930	vnd	ventral nervous system defective
FB:FBgn0001269	inv	invected
FB:FBgn0001235	hth	homothorax
FB:FBgn0003460	so	sine oculis
FB:FBgn0001170	H2.0	Homeodomain protein 2.0
FB:FBgn0001077	ftz	fushi tarazu
FB:FBgn0025776	ind	intermediate neuroblasts defective
FB:FBgn0015561	unpg	unplugged
FB:FBgn0038833	Dmel\CG15696	RT01055p1
FB:FBgn0085396	CG5369	Uncharacterized protein, isoform C
FB:FBgn0085369	Drgx	Dorsal root ganglia homeobox, isoform E
FB:FBgn0003944	Ubx	Ultrabithorax
FB:FBgn0023489	Pph13	PvuII-PstI homology 13
FB:FBgn0028993	scro	Scarecrow, isoform A
FB:FBgn0034520	lms	lateral muscles scarcer
FB:FBgn0002522	lab	labial
FB:FBgn0024184	unc-4	unc-4
FB:FBgn0264005	Hmx	H6-like-homeobox
FB:FBgn0004110	tin	tinman
FB:FBgn0004102	oc	ocelliless
FB:FBgn0034821	Dmel\CG9876	FI01017p
FB:FBgn0002941	slou	slouch
FB:FBgn0024321	NK7.1	NK7.1, isoform A
FB:FBgn0020617	Rx	Retinal homeobox protein Rx
FB:FBgn0004862	bap	bagpipe
FB:FBgn0027364	Six4	Six4
FB:FBgn0004854	B-H2	BarH2
FB:FBgn0026411	Lim1	LIM homeobox 1
FB:FBgn0014949	btn	Buttonless
FB:FBgn0041156	exex	extra-extra
FB:FBgn0004595	pros	prospero
FB:FBgn0026058	OdsH	Ods-site homeobox
FB:FBgn0040318	HGTX	HGTX
FB:FBgn0030058	Dmel\CG11294	IP01065p
FB:FBgn0025360	Optix	Optix
FB:FBgn0025334	PHDP	Putative homeodomain protein
FB:FBgn0013751	Awh	Arrowhead
FB:FBgn0000611	exd	extradenticle
FB:FBgn0036274	Dmel\CG4328	FI06571p
FB:FBgn0000577	en	engrailed
FB:FBgn0000576	ems	empty spiracles
FB:FBgn0000529	bsh	brain-specific homeobox
FB:FBgn0000492	Dr	Drop
FB:FBgn0020912	Ptx1	Ptx1
FB:FBgn0000251	cad	caudal
FB:FBgn0052532	CG14202	Uncharacterized protein, isoform D
FB:FBgn0000157	Dll	Distal-less
FB:FBgn0260642	Antp	Antennapedia
FB:FBgn0038592	Dmel\CG18599	Uncharacterized protein
FB:FBgn0002023	Lim3	Lim3
FB:FBgn0267978	ap	apterous
FB:FBgn0015524	otp	orthopedia
FB:FBgn0052105	Lmx1a	LIM homeobox transcription factor 1 alpha, isoform B
FB:FBgn0010323	Gsc	Goosecoid
FB:FBgn0000061	al	aristaless
FB:FBgn0000015	Abd-B	Abdominal B
FB:FBgn0000014	abd-A	abdominal A
FB:FBgn0004607	zfh2	Zn finger homeodomain 2
FB:FBgn0004606	zfh1	Zn finger homeodomain 1
FB:FBgn0003267	ro	rough
FB:FBgn0008651	lbl	ladybird late
FB:FBgn0008646	E5	E5
FB:FBgn0008636	hbn	Homeobrain
FB:FBgn0033749	achi	achintya
FB:FBgn0033748	vis	vismay
FB:FBgn0263512	Vsx2	Visual system homeobox 2
FB:FBgn0263511	Vsx1	Visual system homeobox 1
